angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
11.7	16	11.7	48	11.7	30	11.7	103
11.8	25	11.8	36	11.8	42	11.8	94
11.9	17	11.9	47	11.9	29	11.9	109
12	22	12	50	12	36	12	80
12.1	17	12.1	45	12.1	33	12.1	84
12.2	20	12.2	48	12.2	44	12.2	89
12.3	29	12.3	47	12.3	36	12.3	95
12.4	16	12.4	40	12.4	41	12.4	97
12.5	23	12.5	32	12.5	31	12.5	89
12.6	17	12.6	45	12.6	37	12.6	98
12.7	27	12.7	44	12.7	33	12.7	78
12.8	27	12.8	47	12.8	34	12.8	87
12.9	24	12.9	53	12.9	32	12.9	96
13	17	13	44	13	45	13	97
13.1	19	13.1	60	13.1	34	13.1	111
13.2	17	13.2	52	13.2	38	13.2	82
13.3	18	13.3	51	13.3	35	13.3	103
13.4	15	13.4	60	13.4	39	13.4	106
13.5	16	13.5	57	13.5	51	13.5	109
13.6	20	13.6	60	13.6	43	13.6	91
13.7	19	13.7	49	13.7	61	13.7	91
13.8	16	13.8	74	13.8	34	13.8	106
13.9	23	13.9	40	13.9	33	13.9	86
14	14	14	49	14	58	14	65
14.1	15	14.1	54	14.1	42	14.1	78
14.2	23	14.2	54	14.2	42	14.2	90
14.3	21	14.3	59	14.3	40	14.3	65
14.4	32	14.4	53	14.4	35	14.4	95
14.5	22	14.5	44	14.5	39	14.5	82
14.6	19	14.6	66	14.6	32	14.6	89
14.7	17	14.7	72	14.7	40	14.7	68
14.8	22	14.8	49	14.8	57	14.8	73
14.9	18	14.9	46	14.9	42	14.9	73
15	25	15	34	15	38	15	70
15.1	24	15.1	39	15.1	41	15.1	76
15.2	23	15.2	47	15.2	30	15.2	74
15.3	20	15.3	51	15.3	46	15.3	56
15.4	19	15.4	49	15.4	31	15.4	72
15.5	18	15.5	67	15.5	32	15.5	74
15.6	19	15.6	46	15.6	53	15.6	78
15.7	23	15.7	52	15.7	29	15.7	74
15.8	27	15.8	57	15.8	39	15.8	81
15.9	16	15.9	57	15.9	47	15.9	101
16	26	16	54	16	31	16	107
16.1	22	16.1	55	16.1	35	16.1	80
16.2	20	16.2	61	16.2	43	16.2	53
16.3	21	16.3	46	16.3	39	16.3	75
16.4	15	16.4	46	16.4	40	16.4	72
16.5	22	16.5	63	16.5	37	16.5	67
16.6	21	16.6	61	16.6	46	16.6	59
16.7	25	16.7	42	16.7	30	16.7	63
16.8	13	16.8	52	16.8	36	16.8	64
16.9	22	16.9	44	16.9	43	16.9	56
17	20	17	67	17	45	17	73
17.1	20	17.1	46	17.1	28	17.1	73
17.2	21	17.2	55	17.2	48	17.2	53
17.3	21	17.3	73	17.3	45	17.3	70
17.4	18	17.4	78	17.4	62	17.4	90
17.5	24	17.5	96	17.5	72	17.5	95
17.6	20	17.6	125	17.6	33	17.6	97
17.7	20	17.7	130	17.7	34	17.7	79
17.8	20	17.8	88	17.8	35	17.8	65
17.9	18	17.9	65	17.9	34	17.9	57
18	19	18	53	18	36	18	63
18.1	14	18.1	51	18.1	34	18.1	101
18.2	25	18.2	51	18.2	33	18.2	63
18.3	21	18.3	52	18.3	25	18.3	46
18.4	19	18.4	62	18.4	20	18.4	51
18.5	22	18.5	56	18.5	28	18.5	57
18.6	13	18.6	57	18.6	31	18.6	56
18.7	15	18.7	50	18.7	29	18.7	44
18.8	25	18.8	50	18.8	33	18.8	48
18.9	26	18.9	40	18.9	29	18.9	53
19	20	19	48	19	31	19	50
19.1	17	19.1	47	19.1	34	19.1	45
19.2	16	19.2	42	19.2	26	19.2	46
19.3	17	19.3	52	19.3	30	19.3	62
19.4	20	19.4	46	19.4	33	19.4	54
19.5	21	19.5	51	19.5	50	19.5	66
19.6	18	19.6	50	19.6	81	19.6	96
19.7	21	19.7	67	19.7	123	19.7	196
19.8	25	19.8	132	19.8	117	19.8	189
19.9	13	19.9	268	19.9	77	19.9	158
20	20	20	326	20	43	20	75
20.1	18	20.1	210	20.1	36	20.1	52
20.2	22	20.2	89	20.2	26	20.2	54
20.3	22	20.3	46	20.3	20	20.3	56
20.4	27	20.4	48	20.4	30	20.4	52
20.5	16	20.5	55	20.5	21	20.5	43
20.6	15	20.6	36	20.6	14	20.6	61
20.7	15	20.7	47	20.7	31	20.7	38
20.8	16	20.8	37	20.8	22	20.8	43
20.9	15	20.9	43	20.9	30	20.9	55
21	20	21	30	21	23	21	38
21.1	20	21.1	46	21.1	35	21.1	36
21.2	16	21.2	42	21.2	21	21.2	35
21.3	17	21.3	39	21.3	25	21.3	34
21.4	17	21.4	40	21.4	34	21.4	42
21.5	18	21.5	34	21.5	27	21.5	53
21.6	20	21.6	42	21.6	23	21.6	43
21.7	18	21.7	39	21.7	17	21.7	42
21.8	8	21.8	37	21.8	23	21.8	36
21.9	16	21.9	41	21.9	32	21.9	53
22	15	22	35	22	25	22	72
22.1	11	22.1	42	22.1	16	22.1	78
22.2	13	22.2	32	22.2	22	22.2	47
22.3	21	22.3	30	22.3	25	22.3	42
22.4	11	22.4	31	22.4	23	22.4	31
22.5	21	22.5	36	22.5	23	22.5	48
22.6	17	22.6	41	22.6	23	22.6	37
22.7	14	22.7	29	22.7	22	22.7	29
22.8	15	22.8	39	22.8	23	22.8	42
22.9	10	22.9	31	22.9	22	22.9	26
23	19	23	40	23	19	23	27
23.1	17	23.1	24	23.1	18	23.1	40
23.2	23	23.2	38	23.2	24	23.2	48
23.3	19	23.3	26	23.3	27	23.3	43
23.4	15	23.4	44	23.4	21	23.4	26
23.5	27	23.5	39	23.5	35	23.5	45
23.6	11	23.6	37	23.6	36	23.6	67
23.7	26	23.7	39	23.7	62	23.7	55
23.8	17	23.8	69	23.8	34	23.8	42
23.9	20	23.9	88	23.9	18	23.9	27
24	16	24	73	24	19	24	25
24.1	15	24.1	41	24.1	21	24.1	29
24.2	18	24.2	27	24.2	26	24.2	32
24.3	22	24.3	34	24.3	21	24.3	31
24.4	11	24.4	40	24.4	18	24.4	26
24.5	18	24.5	28	24.5	22	24.5	37
24.6	11	24.6	24	24.6	19	24.6	30
24.7	13	24.7	28	24.7	20	24.7	27
24.8	11	24.8	34	24.8	17	24.8	32
24.9	17	24.9	30	24.9	24	24.9	67
25	14	25	33	25	19	25	48
25.1	16	25.1	19	25.1	21	25.1	52
25.2	13	25.2	43	25.2	19	25.2	28
25.3	20	25.3	30	25.3	27	25.3	29
25.4	13	25.4	26	25.4	17	25.4	24
25.5	14	25.5	30	25.5	18	25.5	20
25.6	18	25.6	20	25.6	12	25.6	30
25.7	11	25.7	26	25.7	13	25.7	30
25.8	16	25.8	36	25.8	18	25.8	22
25.9	14	25.9	29	25.9	21	25.9	23
26	19	26	20	26	18	26	27
26.1	16	26.1	36	26.1	19	26.1	22
26.2	15	26.2	25	26.2	16	26.2	30
26.3	22	26.3	35	26.3	18	26.3	29
26.4	17	26.4	24	26.4	13	26.4	35
26.5	15	26.5	29	26.5	33	26.5	22
26.6	11	26.6	24	26.6	45	26.6	46
26.7	16	26.7	26	26.7	69	26.7	119
26.8	18	26.8	49	26.8	98	26.8	179
26.9	18	26.9	95	26.9	66	26.9	135
27	17	27	169	27	48	27	88
27.1	16	27.1	188	27.1	25	27.1	51
27.2	18	27.2	164	27.2	17	27.2	27
27.3	18	27.3	66	27.3	23	27.3	23
27.4	14	27.4	26	27.4	22	27.4	32
27.5	17	27.5	17	27.5	17	27.5	22
27.6	9	27.6	21	27.6	19	27.6	25
27.7	13	27.7	27	27.7	19	27.7	17
27.8	11	27.8	17	27.8	16	27.8	31
27.9	24	27.9	29	27.9	24	27.9	25
28	12	28	15	28	15	28	19
28.1	5	28.1	21	28.1	13	28.1	15
28.2	13	28.2	22	28.2	14	28.2	24
28.3	12	28.3	21	28.3	16	28.3	16
28.4	13	28.4	26	28.4	17	28.4	17
28.5	4	28.5	20	28.5	18	28.5	24
28.6	14	28.6	21	28.6	19	28.6	19
28.7	13	28.7	16	28.7	18	28.7	28
28.8	8	28.8	17	28.8	13	28.8	22
28.9	11	28.9	26	28.9	14	28.9	23
29	5	29	13	29	23	29	21
29.1	16	29.1	13	29.1	17	29.1	18
29.2	18	29.2	17	29.2	14	29.2	17
29.3	6	29.3	16	29.3	11	29.3	19
29.4	11	29.4	24	29.4	20	29.4	24
29.5	14	29.5	19	29.5	13	29.5	18
29.6	6	29.6	22	29.6	15	29.6	26
29.7	11	29.7	19	29.7	20	29.7	25
29.8	10	29.8	12	29.8	17	29.8	18
29.9	8	29.9	16	29.9	14	29.9	19
30	16	30	19	30	19	30	32
30.1	18	30.1	24	30.1	11	30.1	38
30.2	9	30.2	14	30.2	29	30.2	26
30.3	11	30.3	25	30.3	20	30.3	32
30.4	14	30.4	24	30.4	11	30.4	17
30.5	14	30.5	20	30.5	18	30.5	21
30.6	16	30.6	23	30.6	19	30.6	25
30.7	7	30.7	5	30.7	14	30.7	17
30.8	20	30.8	16	30.8	11	30.8	14
30.9	7	30.9	17	30.9	12	30.9	23
31	13	31	21	31	11	31	19
31.1	9	31.1	21	31.1	10	31.1	21
31.2	6	31.2	13	31.2	6	31.2	16
31.3	10	31.3	13	31.3	14	31.3	18
31.4	12	31.4	26	31.4	15	31.4	16
31.5	14	31.5	19	31.5	11	31.5	11
31.6	8	31.6	20	31.6	15	31.6	13
31.7	15	31.7	10	31.7	14	31.7	19
31.8	15	31.8	13	31.8	10	31.8	19
31.9	11	31.9	13	31.9	15	31.9	17
32	4	32	11	32	14	32	14
32.1	15	32.1	15	32.1	11	32.1	8
32.2	15	32.2	13	32.2	11	32.2	26
32.3	4	32.3	18	32.3	12	32.3	17
32.4	11	32.4	10	32.4	12	32.4	20
32.5	8	32.5	17	32.5	14	32.5	13
32.6	16	32.6	16	32.6	14	32.6	12
32.7	11	32.7	16	32.7	13	32.7	14
32.8	10	32.8	16	32.8	13	32.8	18
32.9	18	32.9	11	32.9	13	32.9	15
33	7	33	11	33	18	33	30
33.1	12	33.1	11	33.1	17	33.1	21
33.2	11	33.2	16	33.2	8	33.2	19
33.3	14	33.3	17	33.3	9	33.3	13
33.4	8	33.4	8	33.4	12	33.4	18
33.5	9	33.5	11	33.5	11	33.5	14
33.6	3	33.6	13	33.6	14	33.6	2
33.7	12	33.7	14	33.7	8	33.7	17
33.8	6	33.8	11	33.8	10	33.8	14
33.9	14	33.9	14	33.9	7	33.9	11
34	9	34	12	34	9	34	15
34.1	7	34.1	16	34.1	23	34.1	15
34.2	7	34.2	10	34.2	30	34.2	31
34.3	13	34.3	10	34.3	34	34.3	37
34.4	12	34.4	26	34.4	20	34.4	45
34.5	10	34.5	30	34.5	14	34.5	36
34.6	13	34.6	34	34.6	21	34.6	25
34.7	12	34.7	26	34.7	13	34.7	12
34.8	5	34.8	21	34.8	17	34.8	16
34.9	11	34.9	21	34.9	14	34.9	12
35	10	35	12	35	11	35	15
